ra,dec,phi1,phi2,distance_modulus,pmra,pmdec,p_pmra,p_pmdec,p_spatial,gaia_g,gaia_bp,gaia_rp,delve_g,delve_r,rrl?,bhb?
13.9762311,-23.2519006,6.4201076652973565,0.6926182732994856,16.58902,-0.47129455947146,-1.105884251702353,0.8690019408755323,0.6720252028952729,0.9999100622530935,0.33,17.108402,16.56436,,,True,False
9.9744782,-20.892897,10.804826896917513,0.39276074762404845,16.476725,-0.5826326287474906,-0.997383239338076,0.9552454093974236,0.7158014354810228,0.9989649151814177,0.35,17.000551,16.437588,,,True,False
8.7047701,-19.8299726,12.396016916412911,0.5152513660874624,16.327773,-0.6988220805296113,-1.0744253162224082,0.9802336439536847,0.9384822002779319,0.779911712218735,0.38,16.940071,16.341307,,,True,False
26.0199557,-30.3625957,-6.454846098094858,0.5607911931215532,17.024154999999997,0.106157580283598,-0.9745931735304404,0.7322168361694936,0.5284293845501195,0.9998193929639653,0.26,17.503635,16.878355,,,True,False
25.6322687,-30.2315534,-6.099500195489571,0.506374928390524,16.933861,0.0803519385875397,-1.0272204893192904,0.8746675356001359,0.19796143522382256,0.9797711632256035,0.36,17.472036,16.908993,,,True,False
23.836664,-28.7730196,-4.011446476988797,0.9647055877252931,16.901744,-0.0202845671248733,-1.0179352720782635,0.9918351957999065,0.2117572118512685,0.8516659196337537,0.36,17.458918,16.895933,,,True,False
18.697865,-25.0985695,1.8251260411192667,1.6177558688154583,16.89789,-0.1492010025196617,-0.9799498150527732,0.7969644853002839,0.9521492911088353,0.20092170114026656,0.37,17.471855,16.768381,,,True,False
13.275069,-22.843478,7.182418949631654,0.6474197410536511,16.527975708339987,-0.5598095032432915,-0.9263040373343616,0.6160909430604152,0.492463216359382,0.9998340018851132,17.096128,17.166117,17.01595,17.0353472770198,17.216144440806353,False,True
13.115925,-22.792238,7.331297482774661,0.6029086068081873,16.527311101404145,-0.3755768261534122,-1.130474720111644,0.8392738923398012,0.6588872851115007,0.9950489410616802,17.063852,17.129309,16.989819,16.98860492755251,17.11491688727932,False,True
13.161556,-22.616244,7.400472776520182,0.7701250731210458,16.487478620383918,-0.4416259273220415,-1.0302416251119813,0.9932275271902793,0.9993507624754863,0.957572795798422,17.134394,17.18982,17.072678,17.05090633833272,17.266716322671964,False,True
4.366381,-17.001365,17.378968922864132,0.1834916526543671,16.3150270128313,-0.9419503637930668,-0.9866861008474076,0.9999618979063255,0.46055081116461327,0.3273524428065465,16.917269,16.985426,16.794079,16.82492719128918,17.007783821980855,False,True
37.10987,-35.706761,-17.154692956638005,0.021264496555893332,17.27769368310922,0.356014646060081,-0.620971752213042,0.35669114143675473,0.3801403152812209,0.9926282801721497,17.91216,17.963976,17.80576,17.797146957255716,17.98724516914798,False,True
34.759073,-33.963077,-14.675196505476167,0.8056020311226723,17.223090667538404,0.1514724075514179,-0.7698324137318773,0.20184367903136577,0.952640736419728,0.7180557911275913,17.78883,17.853825,17.67005,17.71827035370442,17.888123068330902,False,True
33.274135,-33.535181,-13.376860491710167,0.6568778986231534,17.18357125650001,0.2469893454901183,-0.8287473805602761,0.7297992865030095,0.9909653012126957,0.9958228130859991,17.808779,17.87139,17.745102,17.71396461662699,17.911470223934714,False,True
30.135734,-33.275844,-10.923841096672115,-0.2989407000521072,16.9356760601797,0.0834499301415213,-0.8709728775379424,0.4509729850154816,0.9758047241131219,0.593458401797065,17.484861,17.559853,17.366657,17.417830064720732,17.573655582488104,False,True
28.094061,-31.854195,-8.734498899129521,0.1349056597292467,16.864033944913743,0.1449132780856803,-0.9772068159467546,0.8151043067254238,0.3452337203752771,0.8561619031506695,17.467241,17.51643,17.404415,17.386680511490507,17.579029765101083,False,True
23.670351,-29.264216,-4.140956588468105,0.46906995399895884,16.753630594033545,-0.0140832558125244,-0.978848617547624,0.9818170858904689,0.6965772212935758,0.8561153771706494,17.247246,17.32595,17.093313,17.206219834009417,17.317271804222433,False,True
18.654976,-26.549132,1.0552857092990835,0.3876453123642488,16.549505985152006,-0.2087682753226418,-0.9428224828202282,0.9979247424987341,0.6751501598458943,0.5808367378456586,17.02553,17.22774,16.677788,16.984557363589218,17.061529058330112,False,True
17.317953,-25.139657,2.8399460863077106,0.887450470011631,16.629072451879008,-0.3536693354786506,-0.9719116187432616,0.7593894542544957,0.974888089183681,0.989749660540145,17.155573,17.221014,17.044483,17.105407182542752,17.253973564321146,False,True
19.678816,-26.591157,0.2670632066210806,0.8556918560503621,16.744050585569173,-0.1486294059310869,-1.0406436221793625,0.9790553678348318,0.6909618049397331,0.9992285782815665,17.244703,17.331903,17.136332,17.20523289413422,17.33135990571696,False,True
